unit_name,unit_idnum,unit_id,action,channel_group,max_dissimilarity,max_depth_delta
718,55,4b0661c2-9263-4428-bb34-469b2e0a4c83,011-120321-4,3,0.05,100
231,55,4b0661c2-9263-4428-bb34-469b2e0a4c83,011-120321-6,3,0.05,100
147,55,4b0661c2-9263-4428-bb34-469b2e0a4c83,011-120321-5,3,0.05,100
155,55,4b0661c2-9263-4428-bb34-469b2e0a4c83,011-120321-2,3,0.05,100
157,56,9eb2df61-d027-4ae9-aaa6-f00ae1e56464,011-120321-2,3,0.05,100
866,56,9eb2df61-d027-4ae9-aaa6-f00ae1e56464,011-120321-4,3,0.05,100
156,56,9eb2df61-d027-4ae9-aaa6-f00ae1e56464,011-120321-5,3,0.05,100
485,56,9eb2df61-d027-4ae9-aaa6-f00ae1e56464,011-120321-6,3,0.05,100
166,57,d27ca4d0-fc1c-450c-8ef3-8eba0af63d82,011-120321-2,3,0.05,100
714,58,4face1fc-cb2a-4c94-afdf-0117bfa67a2c,011-120321-4,3,0.05,100
205,58,4face1fc-cb2a-4c94-afdf-0117bfa67a2c,011-120321-2,3,0.05,100
625,58,4face1fc-cb2a-4c94-afdf-0117bfa67a2c,011-120321-3,3,0.05,100
314,58,4face1fc-cb2a-4c94-afdf-0117bfa67a2c,011-120321-6,3,0.05,100
456,58,4face1fc-cb2a-4c94-afdf-0117bfa67a2c,011-120321-5,3,0.05,100
251,59,53b49409-64f7-4296-9165-4fb2ee3374d8,011-120321-5,3,0.05,100
492,59,53b49409-64f7-4296-9165-4fb2ee3374d8,011-120321-6,3,0.05,100
221,59,53b49409-64f7-4296-9165-4fb2ee3374d8,011-120321-2,3,0.05,100
924,59,53b49409-64f7-4296-9165-4fb2ee3374d8,011-120321-4,3,0.05,100
233,60,b1c8fcb4-0f08-445e-b445-1cd67968071c,011-120321-2,3,0.05,100
